row_no,subject,category,legal_name,ticker,period,period_end,grain,metric_key,metric_zh,value,unit,disclosure_frequency,quality_status,verification_status,official_value,official_unit,official_source_label,official_source_url,official_evidence,verification_count,verification_method,verification_sources,verification_note
259,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H2 2023,"Dec 31, 2023",half_year,total_assets,总资产,"112,118",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,112118,millions HKD,HKT 2024 Annual Results Announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf,"资产负债表披露2023年12月31日非流动资产102,675、流动资产9,443，合计总资产112,118百万港元。",2,official_annual_balance_sheet_reconciliation,"[{""label"": ""HKT 2024 Annual Results Announcement - Consolidated Statement of Financial Position"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 年末现金、总资产和借款。""}, {""label"": ""HKT 2024 Annual Results Announcement - Financial Review"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 H1/H2 分部表和附注定义总债务。""}]",标准化表与官方值一致，差异 0.000。
260,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H1 2024,"Jun 30, 2024",half_year,total_assets,总资产,"113,722",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,113722,millions HKD,HKT 2024 Interim Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0905/2024090500415.pdf,"2024中报资产负债表披露2024年6月30日非流动资产103,927、流动资产9,795，合计总资产113,722百万港元。",3,official_interim_balance_sheet_reconciliation,"[{""label"": ""HKT 2024 Interim Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0905/2024090500415.pdf"", ""evidence"": ""2024 H1及2023 H1比较栏损益表、资产负债表和现金流量表。""}, {""label"": ""PCRD Announcement relating to HKT Limited 2024 Interim Results"", ""url"": ""https://www.pcrd.com/public/uploads/keys/25_7_2024_-_Announcement_relating_to_HKT_Limited_2024_Interim_Results.pdf"", ""evidence"": ""PCRD同步披露HKT 2024中期业绩公告，用于交叉核验H1分部及财务信息。""}, {""label"": ""HKT 2024 Annual Results Announcement"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2024年度业绩公告同表披露2024 H1/H2和2023 H1/H2分部结果。""}]",标准化表与官方值一致，差异 0.000。
261,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H2 2024,"Dec 31, 2024",half_year,total_assets,总资产,"116,813",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,116813,millions HKD,HKT 2024 Annual Results Announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf,"资产负债表披露2024年12月31日非流动资产105,928、流动资产10,885，合计总资产116,813百万港元。",2,official_annual_balance_sheet_reconciliation,"[{""label"": ""HKT 2024 Annual Results Announcement - Consolidated Statement of Financial Position"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 年末现金、总资产和借款。""}, {""label"": ""HKT 2024 Annual Results Announcement - Financial Review"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 H1/H2 分部表和附注定义总债务。""}]",标准化表与官方值一致，差异 0.000。
262,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H1 2025,"Jun 30, 2025",half_year,total_assets,总资产,"118,499",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,118499,millions HKD,HKT 2025 Interim Report,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0904/2025090400705.pdf,"2025中报资产负债表披露2025年6月30日非流动资产107,812、流动资产10,687，合计总资产118,499百万港元。",2,official_interim_balance_sheet_reconciliation,"[{""label"": ""HKT 2025 Interim Report - HKEX"", ""url"": ""https://www.hkexnews.hk/listedco/listconews/sehk/2025/0904/2025090400705.pdf"", ""evidence"": ""2025 H1损益表、资产负债表和现金流量表。""}, {""label"": ""HKT 2025 Annual Results Announcement - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020900404.pdf"", ""evidence"": ""2025年度业绩公告同表披露2025 H1/H2分部结果和AFF。""}]",标准化表与官方值一致，差异 0.000。
263,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H2 2025,"Dec 31, 2025",half_year,total_assets,总资产,"121,152",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,121152,millions HKD,HKT 2025 Annual Results Announcement,https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf,"资产负债表披露非流动资产109,033、流动资产12,119，合计总资产121,152百万港元。",3,official_annual_balance_sheet_reconciliation,"[{""label"": ""HKT 2025 Annual Results Announcement - Consolidated Statement of Financial Position"", ""url"": ""https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf"", ""evidence"": ""2025年底现金、总资产和借款。""}, {""label"": ""HKT 2025 Annual Results Announcement - Financial Review"", ""url"": ""https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf"", ""evidence"": ""2025 H1/H2 分部表和附注定义总债务。""}, {""label"": ""HKT 2025 Annual Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0401/2026040101820.pdf"", ""evidence"": ""2025年报资产负债表、现金流量表和现金等价物附注。""}]",标准化表与官方值一致，差异 0.000。
264,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H1 2023,"Jun 30, 2023",half_year,total_debt,总债务,"47,181",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,45117,millions HKD,HKT 2023 Interim Report,https://www.hkexnews.hk/listedco/listconews/sehk/2023/0907/2023090700442.pdf,"2023中报管理层流动性披露2023年6月30日gross debt为45,117百万港元；gross debt定义为短期及长期借款本金，不含租赁负债。",3,official_interim_gross_debt_principal_check,"[{""label"": ""HKT 2023 Interim Report - HKEX"", ""url"": ""https://www.hkexnews.hk/listedco/listconews/sehk/2023/0907/2023090700442.pdf"", ""evidence"": ""2023 H1损益表、资产负债表和现金流量表。""}, {""label"": ""HKT 2024 Interim Report - HKEX comparative column"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0905/2024090500415.pdf"", ""evidence"": ""2024中报比较栏重列2023 H1归母利润、经营现金流和期末现金。""}, {""label"": ""HKT 2024 Annual Results Announcement"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2024年度业绩公告同表披露2023 H1/H2分部结果。""}]",标准化表 47181 与官方值 45117 不一致，差异 2064.000；正式回答应采用官方值并说明口径冲突。
265,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H2 2023,"Dec 31, 2023",half_year,total_debt,总债务,"47,453",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,44804,millions HKD,HKT 2024 Annual Results Announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf,"管理层流动性披露2023年12月31日gross debt为44,804百万港元；gross debt定义为短期及长期借款本金，不含租赁负债。",2,official_gross_debt_principal_check,"[{""label"": ""HKT 2024 Annual Results Announcement - Consolidated Statement of Financial Position"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 年末现金、总资产和借款。""}, {""label"": ""HKT 2024 Annual Results Announcement - Financial Review"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 H1/H2 分部表和附注定义总债务。""}]",标准化表 47453 与官方值 44804 不一致，差异 2649.000；正式回答应采用官方值并说明口径冲突。
266,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H1 2024,"Jun 30, 2024",half_year,total_debt,总债务,"48,858",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,46344,millions HKD,HKT 2024 Interim Report,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0905/2024090500415.pdf,"2024中报管理层流动性披露2024年6月30日gross debt为46,344百万港元；gross debt定义为短期及长期借款本金，不含租赁负债。",3,official_interim_gross_debt_principal_check,"[{""label"": ""HKT 2024 Interim Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0905/2024090500415.pdf"", ""evidence"": ""2024 H1及2023 H1比较栏损益表、资产负债表和现金流量表。""}, {""label"": ""PCRD Announcement relating to HKT Limited 2024 Interim Results"", ""url"": ""https://www.pcrd.com/public/uploads/keys/25_7_2024_-_Announcement_relating_to_HKT_Limited_2024_Interim_Results.pdf"", ""evidence"": ""PCRD同步披露HKT 2024中期业绩公告，用于交叉核验H1分部及财务信息。""}, {""label"": ""HKT 2024 Annual Results Announcement"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2024年度业绩公告同表披露2024 H1/H2和2023 H1/H2分部结果。""}]",标准化表 48858 与官方值 46344 不一致，差异 2514.000；正式回答应采用官方值并说明口径冲突。
267,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H2 2024,"Dec 31, 2024",half_year,total_debt,总债务,"44,395",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,41723,millions HKD,HKT 2024 Annual Results Announcement,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf,"管理层流动性披露2024年12月31日gross debt为41,723百万港元；gross debt定义为短期及长期借款本金，不含租赁负债。",2,official_gross_debt_principal_check,"[{""label"": ""HKT 2024 Annual Results Announcement - Consolidated Statement of Financial Position"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 年末现金、总资产和借款。""}, {""label"": ""HKT 2024 Annual Results Announcement - Financial Review"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0220/2025022000325.pdf"", ""evidence"": ""2023/2024 H1/H2 分部表和附注定义总债务。""}]",标准化表 44395 与官方值 41723 不一致，差异 2672.000；正式回答应采用官方值并说明口径冲突。
268,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H1 2025,"Jun 30, 2025",half_year,total_debt,总债务,"46,401",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,43433,millions HKD,HKT 2025 Interim Report,https://www.hkexnews.hk/listedco/listconews/sehk/2025/0904/2025090400705.pdf,"2025中报管理层流动性披露2025年6月30日gross debt为43,433百万港元；gross debt定义为短期及长期借款本金，不含租赁负债。",2,official_interim_gross_debt_principal_check,"[{""label"": ""HKT 2025 Interim Report - HKEX"", ""url"": ""https://www.hkexnews.hk/listedco/listconews/sehk/2025/0904/2025090400705.pdf"", ""evidence"": ""2025 H1损益表、资产负债表和现金流量表。""}, {""label"": ""HKT 2025 Annual Results Announcement - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0209/2026020900404.pdf"", ""evidence"": ""2025年度业绩公告同表披露2025 H1/H2分部结果和AFF。""}]",标准化表 46401 与官方值 43433 不一致，差异 2968.000；正式回答应采用官方值并说明口径冲突。
269,HKT / csl / 1O1O,carrier,HKT Trust and HKT Limited,6823.HK,H2 2025,"Dec 31, 2025",half_year,total_debt,总债务,"48,337",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_conflict,44750,millions HKD,HKT 2025 Annual Results Announcement,https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf,"管理层流动性披露2025年12月31日gross debt为44,750百万港元；gross debt定义为短期及长期借款本金，不含租赁负债。",3,official_gross_debt_principal_check,"[{""label"": ""HKT 2025 Annual Results Announcement - Consolidated Statement of Financial Position"", ""url"": ""https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf"", ""evidence"": ""2025年底现金、总资产和借款。""}, {""label"": ""HKT 2025 Annual Results Announcement - Financial Review"", ""url"": ""https://www.hkt.com/api-service/assets/e-2026.02.09_(2025_Annual_Results_Announcement).pdf"", ""evidence"": ""2025 H1/H2 分部表和附注定义总债务。""}, {""label"": ""HKT 2025 Annual Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0401/2026040101820.pdf"", ""evidence"": ""2025年报资产负债表、现金流量表和现金等价物附注。""}]",标准化表 48337 与官方值 44750 不一致，差异 3587.000；正式回答应采用官方值并说明口径冲突。
270,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H1 2023,"Dec 31, 2022",half_year,capital_expenditures,资本开支,-344.46,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-344.459,millions HKD,SmarTone 2022/23 Interim Report,https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_interim.pdf,"2022/23中期现金流量表披露Payment for purchase of fixed assets为344,459千港元，现金流出口径记为负数。",3,official_interim_cash_flow_check,"[{""label"": ""SmarTone 2022/23 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_interim.pdf"", ""evidence"": ""2022/23中期损益表、资产负债表、现金流量表和EBITDA分部附注。""}, {""label"": ""SmarTone 2022/23 Interim Report - HKEX"", ""url"": ""https://www.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000990.pdf"", ""evidence"": ""HKEX披露同一份2022/23中期报告，用于交叉核验。""}, {""label"": ""SmarTone Financial Reports index"", ""url"": ""https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"", ""evidence"": ""公司投资者关系财务报告入口，用于定位官方中报。""}]",标准化表与官方值一致，差异 -0.001。
271,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H2 2023,"Jun 30, 2023",half_year,capital_expenditures,资本开支,-364.32,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-364.315,millions HKD,SmarTone 2022/23 Annual Report,https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_annual.pdf,"2022/23年报现金流量表披露全年购买固定资产付款708,774千港元；减H1 344,459后H2为364,315千港元，现金流出口径记为负数。",4,official_annual_minus_interim_cash_flow_reconciliation,"[{""label"": ""SmarTone 2022/23 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_interim.pdf"", ""evidence"": ""2023 H1累计值，用于从全年披露复算H2。""}, {""label"": ""SmarTone 2022/23 Annual Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_annual.pdf"", ""evidence"": ""2022/23全年损益表、资产负债表、现金流量表和EBITDA分部附注。""}, {""label"": ""SmarTone 2022/23 Annual Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0926/2023092600701.pdf"", ""evidence"": ""HKEX披露同一份2022/23年报，用于交叉核验。""}, {""label"": ""SmarTone Financial Reports index"", ""url"": ""https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"", ""evidence"": ""公司投资者关系财务报告入口，用于定位官方年报。""}]",标准化表与官方值一致，差异 -0.005。
272,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H1 2024,"Dec 31, 2023",half_year,capital_expenditures,资本开支,-315.99,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-315.988,millions HKD,SmarTone 2023/24 Interim Report,https://www.smartoneholdings.com/about/investor/financial_reports/english/2023_2024_interim.pdf,"2023/24中期现金流量表披露Payment for purchase of fixed assets为315,988千港元，现金流出口径记为负数。",3,official_interim_cash_flow_check,"[{""label"": ""SmarTone 2023/24 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2023_2024_interim.pdf"", ""evidence"": ""2023/24中期损益表、资产负债表、现金流量表和EBITDA分部附注。""}, {""label"": ""SmarTone 2023/24 Interim Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0327/2024032701074.pdf"", ""evidence"": ""HKEX披露同一份2023/24中期报告，用于交叉核验。""}, {""label"": ""SmarTone Financial Reports index"", ""url"": ""https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"", ""evidence"": ""公司投资者关系财务报告入口，用于定位官方中报。""}]",标准化表与官方值一致，差异 -0.002。
273,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H2 2024,"Jun 30, 2024",half_year,capital_expenditures,资本开支,-285.56,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-285.557,millions HKD,SmarTone 2023/24 Annual Report,https://www.smartoneholdings.com/about/investor/financial_reports/english/2023_2024_annual.pdf,"2023/24年报现金流量表披露全年购买固定资产付款601,545千港元；减H1 315,988后H2为285,557千港元，现金流出口径记为负数。",4,official_annual_minus_interim_cash_flow_reconciliation,"[{""label"": ""SmarTone 2023/24 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2023_2024_interim.pdf"", ""evidence"": ""2024 H1累计值，用于从全年披露复算H2。""}, {""label"": ""SmarTone 2023/24 Annual Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2023_2024_annual.pdf"", ""evidence"": ""2023/24全年损益表、资产负债表、现金流量表和资产负债表。""}, {""label"": ""SmarTone 2023/24 Annual Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1007/2024100701016.pdf"", ""evidence"": ""HKEX披露同一份2023/24年报，用于交叉核验。""}, {""label"": ""SmarTone Financial Reports index"", ""url"": ""https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"", ""evidence"": ""公司投资者关系财务报告入口，用于定位官方年报。""}]",标准化表与官方值一致，差异 -0.003。
274,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H1 2025,"Dec 31, 2024",half_year,capital_expenditures,资本开支,-333.01,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-333.014,millions HKD,SmarTone 2025/26 Interim Results Announcement,https://www.smartoneholdings.com/about/investor/major_announcements/2026/02/2026_02_24_1029.pdf,"2025/26中期现金流量表比较数披露2024/25 H1 Payment for purchase of fixed assets为333,014千港元，现金流出口径记为负数。",2,official_interim_cash_flow_comparative_check,"[{""label"": ""SmarTone 2024/25 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2024_2025_interim.pdf"", ""evidence"": ""2024/25中期报告披露损益表、资产负债表和现金流量表。""}, {""label"": ""SmarTone 2025/26 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2025_2026_interim.pdf"", ""evidence"": ""2025/26中期报告披露损益表、资产负债表和现金流量表。""}]",标准化表与官方值一致，差异 0.004。
275,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H2 2025,"Jun 30, 2025",half_year,capital_expenditures,资本开支,-264.46,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-264.457,millions HKD,SmarTone 2024/25 Annual Report,https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp,"2024/25年报现金流量表披露全年Payment for purchase of fixed assets为597,471千港元；减H1 333,014千港元，复算H2为264,457千港元，现金流出口径记为负数。",6,official_annual_minus_interim_cash_flow_reconciliation,"[{""label"": ""SmarTone 2024/25 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2024_2025_interim.pdf"", ""evidence"": ""2025 H1累计值，用于从全年披露复算H2。""}, {""label"": ""SmarTone 2024/25 Annual Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2024_2025_annual.pdf"", ""evidence"": ""2024/25全年损益表、资产负债表和现金流量表。""}, {""label"": ""SmarTone 2024/25 Annual Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1009/2025100900497.pdf"", ""evidence"": ""HKEX披露同一份2024/25年报，用于交叉核验。""}, {""label"": ""SmarTone 2024/25 Annual Results Announcement"", ""url"": ""https://www.smartoneholdings.com/about/investor/results/english/2025_annual_results.pdf"", ""evidence"": ""公司官网业绩公告披露2024/25全年 revenue、profit、现金和借款摘要。""}, {""label"": ""SmarTone 2024/25 Annual Results Announcement - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0903/2025090301160.pdf"", ""evidence"": ""HKEX披露同一份2024/25全年业绩公告，用于交叉核验。""}, {""label"": ""SmarTone FY25 Annual Results Presentation"", ""url"": ""https://www.smartoneholdings.com/about/investor/results/english/2025_annual_present.pdf"", ""evidence"": ""FY25 revenue、profit after tax、net cash等摘要指标交叉验证。""}]",标准化表与官方值一致，差异 -0.003。
276,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H1 2026,"Dec 31, 2025",half_year,capital_expenditures,资本开支,-330.56,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,-330.559,millions HKD,SmarTone 2025/26 Interim Results Announcement,https://www.smartoneholdings.com/about/investor/major_announcements/2026/02/2026_02_24_1029.pdf,"2025/26中期现金流量表披露Payment for purchase of fixed assets为330,559千港元，现金流出口径记为负数。",5,official_interim_cash_flow_check,"[{""label"": ""SmarTone 2025/26 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2025_2026_interim.pdf"", ""evidence"": ""2025/26中期报告披露损益表、资产负债表和现金流量表。""}, {""label"": ""SmarTone 2025/26 Interim Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0330/2026033000664.pdf"", ""evidence"": ""HKEX披露同一份2025/26中期报告，用于交叉核验。""}, {""label"": ""SmarTone 2025/26 Interim Results Announcement"", ""url"": ""https://www.smartoneholdings.com/about/investor/major_announcements/2026/02/2026_02_24_1029.pdf"", ""evidence"": ""公司官网中期业绩公告披露2025/26 H1 revenue、profit、现金和借款摘要。""}, {""label"": ""SmarTone 2025/26 Interim Results Announcement - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0224/2026022400395.pdf"", ""evidence"": ""HKEX披露同一份2025/26中期业绩公告，用于交叉核验。""}, {""label"": ""SmarTone FY26 Interim Results Presentation"", ""url"": ""https://www.smartoneholdings.com/about/investor/results/english/2026_interim_present.pdf"", ""evidence"": ""H1 2026 revenue、profit after tax、net cash等摘要指标交叉验证。""}]",标准化表与官方值一致，差异 -0.001。
277,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H1 2023,"Dec 31, 2022",half_year,cash_and_equivalents,现金及等价物,815.65,millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,815.65,millions HKD,SmarTone 2022/23 Interim Report,https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_interim.pdf,"2022/23中期资产负债表披露2022年12月31日Cash and cash equivalents为815,650千港元。",3,official_interim_balance_sheet_check,"[{""label"": ""SmarTone 2022/23 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_interim.pdf"", ""evidence"": ""2022/23中期损益表、资产负债表、现金流量表和EBITDA分部附注。""}, {""label"": ""SmarTone 2022/23 Interim Report - HKEX"", ""url"": ""https://www.hkexnews.hk/listedco/listconews/sehk/2023/0330/2023033000990.pdf"", ""evidence"": ""HKEX披露同一份2022/23中期报告，用于交叉核验。""}, {""label"": ""SmarTone Financial Reports index"", ""url"": ""https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"", ""evidence"": ""公司投资者关系财务报告入口，用于定位官方中报。""}]",标准化表与官方值一致，差异 0.000。
278,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H2 2023,"Jun 30, 2023",half_year,cash_and_equivalents,现金及等价物,"1,155",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,1155.152,millions HKD,SmarTone 2022/23 Annual Report,https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_annual.pdf,"2022/23年报资产负债表披露2023年6月30日Cash and cash equivalents为1,155,152千港元。",4,official_annual_balance_sheet_check,"[{""label"": ""SmarTone 2022/23 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_interim.pdf"", ""evidence"": ""2023 H1累计值，用于从全年披露复算H2。""}, {""label"": ""SmarTone 2022/23 Annual Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2022_2023_annual.pdf"", ""evidence"": ""2022/23全年损益表、资产负债表、现金流量表和EBITDA分部附注。""}, {""label"": ""SmarTone 2022/23 Annual Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0926/2023092600701.pdf"", ""evidence"": ""HKEX披露同一份2022/23年报，用于交叉核验。""}, {""label"": ""SmarTone Financial Reports index"", ""url"": ""https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"", ""evidence"": ""公司投资者关系财务报告入口，用于定位官方年报。""}]",标准化表与官方值一致，差异 -0.152。
279,SmarTone,carrier,SmarTone Telecommunications Holdings Limited,0315.HK,H1 2024,"Dec 31, 2023",half_year,cash_and_equivalents,现金及等价物,"1,048",millions HKD,semiannual,standardized_online_source_with_official_crosscheck_required,official_match,1047.761,millions HKD,SmarTone 2023/24 Interim Report,https://www.smartoneholdings.com/about/investor/financial_reports/english/2023_2024_interim.pdf,"2023/24中期资产负债表披露2023年12月31日Cash and cash equivalents为1,047,761千港元。",3,official_interim_balance_sheet_check,"[{""label"": ""SmarTone 2023/24 Interim Report - company site"", ""url"": ""https://www.smartoneholdings.com/about/investor/financial_reports/english/2023_2024_interim.pdf"", ""evidence"": ""2023/24中期损益表、资产负债表、现金流量表和EBITDA分部附注。""}, {""label"": ""SmarTone 2023/24 Interim Report - HKEX"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0327/2024032701074.pdf"", ""evidence"": ""HKEX披露同一份2023/24中期报告，用于交叉核验。""}, {""label"": ""SmarTone Financial Reports index"", ""url"": ""https://www.smartoneholdings.com/jsp/site/investor_relations/financial_reports/english/index.jsp"", ""evidence"": ""公司投资者关系财务报告入口，用于定位官方中报。""}]",标准化表与官方值一致，差异 0.239。
